SEK_per_kWh,EUR_per_kWh,EXR,time_start,time_end
0.96144,0.08181,11.752049,2023-06-28 00:00:00,2023-06-28T01:00:00+02:00
0.89927,0.07652,11.752049,2023-06-28 01:00:00,2023-06-28T02:00:00+02:00
0.87482,0.07444,11.752049,2023-06-28 02:00:00,2023-06-28T03:00:00+02:00
0.8713,0.07414,11.752049,2023-06-28 03:00:00,2023-06-28T04:00:00+02:00
0.87435,0.0744,11.752049,2023-06-28 04:00:00,2023-06-28T05:00:00+02:00
1.0826,0.09212,11.752049,2023-06-28 05:00:00,2023-06-28T06:00:00+02:00
1.36359,0.11603,11.752049,2023-06-28 06:00:00,2023-06-28T07:00:00+02:00
1.54539,0.1315,11.752049,2023-06-28 07:00:00,2023-06-28T08:00:00+02:00
1.50332,0.12792,11.752049,2023-06-28 08:00:00,2023-06-28T09:00:00+02:00
1.33562,0.11365,11.752049,2023-06-28 09:00:00,2023-06-28T10:00:00+02:00
1.19742,0.10189,11.752049,2023-06-28 10:00:00,2023-06-28T11:00:00+02:00
1.16698,0.0993,11.752049,2023-06-28 11:00:00,2023-06-28T12:00:00+02:00
1.18907,0.10118,11.752049,2023-06-28 12:00:00,2023-06-28T13:00:00+02:00
1.14488,0.09742,11.752049,2023-06-28 13:00:00,2023-06-28T14:00:00+02:00
1.12338,0.09559,11.752049,2023-06-28 14:00:00,2023-06-28T15:00:00+02:00
1.12103,0.09539,11.752049,2023-06-28 15:00:00,2023-06-28T16:00:00+02:00
1.147,0.0976,11.752049,2023-06-28 16:00:00,2023-06-28T17:00:00+02:00
1.25841,0.10708,11.752049,2023-06-28 17:00:00,2023-06-28T18:00:00+02:00
1.51507,0.12892,11.752049,2023-06-28 18:00:00,2023-06-28T19:00:00+02:00
1.82368,0.15518,11.752049,2023-06-28 19:00:00,2023-06-28T20:00:00+02:00
1.95519,0.16637,11.752049,2023-06-28 20:00:00,2023-06-28T21:00:00+02:00
1.85212,0.1576,11.752049,2023-06-28 21:00:00,2023-06-28T22:00:00+02:00
1.64529,0.14,11.752049,2023-06-28 22:00:00,2023-06-28T23:00:00+02:00
1.25253,0.10658,11.752049,2023-06-28 23:00:00,2023-06-29T00:00:00+02:00